MFile 1 4 120
MTrk
0 TimeSig 4/4 24 8
0 Tempo 600000
0 Meta TrkEnd
TrkEnd
MTrk
20399 On ch=1 n=68 v=64
20579 On ch=1 n=68 v=0
20579 On ch=1 n=64 v=64
20639 On ch=1 n=64 v=0
20639 On ch=1 n=64 v=64
20879 On ch=1 n=64 v=0
20879 On ch=1 n=63 v=64
20999 On ch=1 n=63 v=0
21119 On ch=1 n=59 v=64
21239 On ch=1 n=59 v=0
21239 On ch=1 n=63 v=64
21359 On ch=1 n=63 v=0
21359 On ch=1 n=64 v=64
21479 On ch=1 n=64 v=0
21599 On ch=1 n=64 v=64
21719 On ch=1 n=64 v=0
21719 On ch=1 n=61 v=64
21839 On ch=1 n=61 v=0
21839 On ch=1 n=59 v=64
21959 On ch=1 n=59 v=0
22079 On ch=1 n=59 v=64
22199 On ch=1 n=59 v=0
22199 On ch=1 n=59 v=64
22319 On ch=1 n=59 v=0
22319 On ch=1 n=64 v=64
22439 On ch=1 n=64 v=0
22439 On ch=1 n=64 v=64
22559 On ch=1 n=64 v=0
22559 On ch=1 n=64 v=64
22679 On ch=1 n=64 v=0
22679 On ch=1 n=64 v=64
22799 On ch=1 n=64 v=0
22799 On ch=1 n=64 v=64
23639 On ch=1 n=64 v=0
23639 On ch=1 n=63 v=64
23759 On ch=1 n=63 v=0
23759 On ch=1 n=64 v=64
23879 On ch=1 n=64 v=0
23999 On ch=1 n=59 v=64
24119 On ch=1 n=59 v=0
24119 On ch=1 n=63 v=64
24239 On ch=1 n=63 v=0
24239 On ch=1 n=64 v=64
24359 On ch=1 n=64 v=0
24719 On ch=1 n=66 v=64
25139 On ch=1 n=66 v=0
25139 On ch=1 n=63 v=64
25199 On ch=1 n=63 v=0
25199 On ch=1 n=63 v=64
25319 On ch=1 n=63 v=0
25319 On ch=1 n=61 v=64
25379 On ch=1 n=61 v=0
25679 On ch=1 n=64 v=64
26099 On ch=1 n=64 v=0
26099 On ch=1 n=64 v=64
26159 On ch=1 n=64 v=0
26159 On ch=1 n=64 v=64
26279 On ch=1 n=64 v=0
26279 On ch=1 n=63 v=64
26399 On ch=1 n=63 v=0
26399 On ch=1 n=66 v=64
26579 On ch=1 n=66 v=0
26579 On ch=1 n=66 v=64
26639 On ch=1 n=66 v=0
26639 On ch=1 n=66 v=64
26759 On ch=1 n=66 v=0
26759 On ch=1 n=64 v=64
26879 On ch=1 n=64 v=0
26879 On ch=1 n=64 v=64
27119 On ch=1 n=64 v=0
27119 On ch=1 n=63 v=64
27179 On ch=1 n=63 v=0
27179 On ch=1 n=71 v=64
27299 On ch=1 n=71 v=0
27299 On ch=1 n=69 v=64
27419 On ch=1 n=69 v=0
27419 On ch=1 n=68 v=64
27539 On ch=1 n=68 v=0
27539 On ch=1 n=66 v=64
27659 On ch=1 n=66 v=0
27659 On ch=1 n=64 v=64
27779 On ch=1 n=64 v=0
27779 On ch=1 n=63 v=64
27839 On ch=1 n=63 v=0
27839 On ch=1 n=61 v=64
27899 On ch=1 n=61 v=0
27899 On ch=1 n=61 v=64
27959 On ch=1 n=61 v=0
27959 On ch=1 n=61 v=64
28019 On ch=1 n=61 v=0
28019 On ch=1 n=61 v=64
28079 On ch=1 n=61 v=0
28079 On ch=1 n=61 v=64
28139 On ch=1 n=61 v=0
28139 On ch=1 n=61 v=64
28199 On ch=1 n=61 v=0
28199 On ch=1 n=61 v=64
28259 On ch=1 n=61 v=0
28259 On ch=1 n=61 v=64
28319 On ch=1 n=61 v=0
28319 On ch=1 n=63 v=64
28379 On ch=1 n=63 v=0
28379 On ch=1 n=63 v=64
28439 On ch=1 n=63 v=0
28439 On ch=1 n=63 v=64
28499 On ch=1 n=63 v=0
28499 On ch=1 n=63 v=64
28559 On ch=1 n=63 v=0
28559 On ch=1 n=63 v=64
28619 On ch=1 n=63 v=0
28619 On ch=1 n=63 v=64
28679 On ch=1 n=63 v=0
28679 On ch=1 n=63 v=64
28739 On ch=1 n=63 v=0
28739 On ch=1 n=63 v=64
28799 On ch=1 n=63 v=0
28799 On ch=1 n=56 v=64
28859 On ch=1 n=56 v=0
28859 On ch=1 n=56 v=64
28919 On ch=1 n=56 v=0
28919 On ch=1 n=56 v=64
28979 On ch=1 n=56 v=0
28979 On ch=1 n=56 v=64
29039 On ch=1 n=56 v=0
29039 On ch=1 n=56 v=64
29159 On ch=1 n=56 v=0
29159 On ch=1 n=61 v=64
29339 On ch=1 n=61 v=0
29339 On ch=1 n=61 v=64
29399 On ch=1 n=61 v=0
29399 On ch=1 n=61 v=64
29459 On ch=1 n=61 v=0
29579 On ch=1 n=58 v=64
29639 On ch=1 n=58 v=0
29639 On ch=1 n=58 v=64
29699 On ch=1 n=58 v=0
29819 On ch=1 n=70 v=64
29879 On ch=1 n=70 v=0
29939 On ch=1 n=70 v=64
29999 On ch=1 n=70 v=0
30059 On ch=1 n=70 v=64
30119 On ch=1 n=70 v=0
30179 On ch=1 n=70 v=64
30239 On ch=1 n=70 v=0
30239 On ch=1 n=70 v=64
30359 On ch=1 n=70 v=0
30779 On ch=1 n=68 v=64
30839 On ch=1 n=68 v=0
30839 On ch=1 n=66 v=64
30899 On ch=1 n=66 v=0
30899 On ch=1 n=64 v=64
30959 On ch=1 n=64 v=0
30959 On ch=1 n=63 v=64
31019 On ch=1 n=63 v=0
31019 On ch=1 n=61 v=64
31079 On ch=1 n=61 v=0
31080 On ch=1 n=62 v=64
31260 On ch=1 n=62 v=0
31260 On ch=1 n=61 v=64
31320 On ch=1 n=61 v=0
31320 On ch=1 n=64 v=64
31380 On ch=1 n=64 v=0
31380 On ch=1 n=62 v=64
31500 On ch=1 n=62 v=0
31500 On ch=1 n=61 v=64
31560 On ch=1 n=61 v=0
31560 On ch=1 n=64 v=64
31620 On ch=1 n=64 v=0
31620 On ch=1 n=62 v=64
31740 On ch=1 n=62 v=0
31740 On ch=1 n=61 v=64
31800 On ch=1 n=61 v=0
