Title,ViewDate,Year,Rated,Genre,Director,Writer,Actors,Language,imdbRating,imdbID
This Changes Everything,2021-08-18,2018,TV-PG,Documentary,Tom Donahue,N/A,"Reese Witherspoon, Mira Nair, Shonda Rhimes",English,7.4,tt5795282
This Is 40,2018-07-24,2012,R,"Comedy, Romance",Judd Apatow,Judd Apatow,"Paul Rudd, Leslie Mann, Maude Apatow",English,6.2,tt1758830
Thor,2013-09-21,2011,PG-13,"Action, Adventure, Fantasy",Kenneth Branagh,"Ashley Miller, Zack Stentz, Don Payne","Chris Hemsworth, Anthony Hopkins, Natalie Portman",English,7.0,tt0800369
"Three Wives, One Husband",2018-10-18,2014–2017,N/A,Documentary,N/A,N/A,"Anna Chancellor, Jan Goodman, Abel Morrison",English,6.5,tt6681426
Tiger King,2020-04-13,2008,N/A,Drama,Stan K. Amandi,N/A,"Fabian Adibe, Nonso Diobi, Pete Edochie, Mercy Johnson Okojie",English,N/A,tt1286857
Time Lapse,2016-01-31,2014,Not Rated,"Horror, Sci-Fi, Thriller",Bradley King,"Bradley King, Bp Cooper","Danielle Panabaker, Matt O'Leary, George Finn",English,6.5,tt2669336
Time Trap,2020-09-12,2017,Not Rated,"Action, Adventure, Mystery","Mark Dennis, Ben Foster",Mark Dennis,"Reiley McClendon, Cassidy Gifford, Brianne Howey",English,6.3,tt4815122
Tinker Bell and the Lost Treasure,2015-07-04,2009,G,"Animation, Adventure, Family, Fantasy",Klay Hall,"Evan Spiliotopoulos (screenplay), Klay Hall (story), Evan Spiliotopoulos (story)","Mae Whitman, Jesse McCartney, Jane Horrocks, Lucy Liu",English,6.7,tt1216516
To All the Boys I've Loved Before,2020-02-20,2018,TV-14,"Comedy, Drama, Romance",Susan Johnson,"Sofia Alvarez, Jenny Han","Lana Condor, Noah Centineo, Janel Parrish",English,7.1,tt3846674
To Kill a Mockingbird,2015-10-30,1962,Approved,"Crime, Drama",Robert Mulligan,"Harper Lee, Horton Foote","Gregory Peck, John Megna, Frank Overton",English,8.3,tt0056592
To the Bone,2017-07-15,2017,TV-MA,Drama,Marti Noxon,Marti Noxon,"Rebekah Kennedy, Lily Collins, Dana L. Wilson",English,6.8,tt5541240
Three Paths to the Lake,2020-10-16,1976,N/A,Drama,Michael Haneke,"Ingeborg Bachmann (short story), Michael Haneke (adaptation)","Ursula Schult, Guido Wieland, Walter Schmidinger, Bernhard Wicki",German,6.6,tt0074432
Tom Papa: Live in New York City,2013-08-24,2011,Not Rated,Comedy,Rob Zombie,Tom Papa,"Max Macguire, Rick Crom, Skippy D, Annette Benda Fox",English,7.2,tt1910649
Tommy Boy,2017-11-21,1995,PG-13,"Adventure, Comedy",Peter Segal,"Bonnie Turner, Terry Turner","Chris Farley, David Spade, Brian Dennehy",English,7.1,tt0114694
Tomorrow Never Dies,2020-02-23,1997,PG-13,"Action, Adventure, Thriller",Roger Spottiswoode,"Bruce Feirstein, Ian Fleming","Pierce Brosnan, Jonathan Pryce, Michelle Yeoh","English, German, Danish, Mandarin, Cantonese",6.5,tt0120347
Top of the Lake,2015-11-08,2013–2017,TV-MA,"Crime, Drama, Mystery",N/A,"Jane Campion, Gerard Lee","Elisabeth Moss, David Wenham, Peter Mullan","English, Thai, German",7.5,tt2103085
Tracks,2015-02-16,2013,PG-13,"Adventure, Biography, Drama",John Curran,"Marion Nelson, Robyn Davidson","Mia Wasikowska, Adam Driver, Lily Pearl","English, Aboriginal",7.2,tt2167266
Trek Nation,2013-12-15,2011,Not Rated,Documentary,Scott Colthorp,Jessica Brunetto,"J.J. Abrams, Indira Addington, Sallie Baliunas",English,7.3,tt1529666
Tron,2014-06-03,2010,PG,"Action, Adventure, Sci-Fi",Joseph Kosinski,"Edward Kitsis, Adam Horowitz, Brian Klugman","Jeff Bridges, Garrett Hedlund, Olivia Wilde",English,6.8,tt1104001
Trouble with the Curve,2017-12-11,2012,PG-13,"Drama, Sport",Robert Lorenz,Randy Brown,"Clint Eastwood, Amy Adams, John Goodman",English,6.8,tt2083383
True Grit,2018-09-20,2010,PG-13,"Drama, Western","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen, Charles Portis","Jeff Bridges, Matt Damon, Hailee Steinfeld",English,7.6,tt1403865
Trumbo,2020-10-04,2015,R,"Biography, Crime, Drama",Jay Roach,"John McNamara, Bruce Cook","Bryan Cranston, Diane Lane, Helen Mirren",English,7.5,tt3203606
Turbo Kid,2016-04-28,2015,Not Rated,"Action, Adventure, Comedy","François Simard, Anouk Whissell, Yoann-Karl Whissell","Anouk Whissell, François Simard, Yoann-Karl Whissell","Munro Chambers, Laurence Leboeuf, Michael Ironside",English,6.7,tt3672742
Tusk,2018-08-06,2014,R,"Comedy, Drama, Horror",Kevin Smith,Kevin Smith,"Justin Long, Michael Parks, Haley Joel Osment",English,5.3,tt3099498
Two Weeks Notice,2018-09-09,2002,PG-13,"Comedy, Romance",Marc Lawrence,Marc Lawrence,"Sandra Bullock, Hugh Grant, Alicia Witt",English,6.1,tt0313737
Ultimate Beastmaster,2020-07-07,2017–2018,TV-Y7,"Game-Show, Reality-TV",N/A,"David Broome, Sylvester Stallone","Tiki Barber, Rafinha Bastos, Luis Ernesto Franco","English, Spanish, Korean, Japanese, German, Portuguese",7.3,tt5607970
Unbelievable,2019-09-18,2019,TV-MA,"Crime, Drama",N/A,"Susannah Grant, Michael Chabon, Ayelet Waldman","Kaitlyn Dever, Toni Collette, Merritt Wever",English,8.4,tt7909970
Unconditional,2016-02-07,2012,PG-13,"Biography, Crime, Drama",Brent McCorkle,Brent McCorkle,"Lynn Collins, Michael Ealy, Bruce McGill",English,7.2,tt1758610
Uncut Gems,2020-09-19,2019,R,"Crime, Drama, Thriller","Benny Safdie, Josh Safdie","Ronald Bronstein, Josh Safdie, Benny Safdie","Adam Sandler, Julia Fox, Idina Menzel","English, Hebrew",7.4,tt5727208
Undeclared,2014-05-20,2001–2003,TV-14,Comedy,N/A,Judd Apatow,"Jay Baruchel, Carla Gallo, Charlie Hunnam",English,7.9,tt0273028
Undefeated,2016-01-29,2011,PG-13,"Documentary, Sport","Daniel Lindsay, T.J. Martin",N/A,"Bill Courtney, O.C. Brown, Montrail 'Money' Brown",English,7.7,tt1860355
Unforgiven,2016-05-05,1992,R,"Drama, Western",Clint Eastwood,David Webb Peoples,"Clint Eastwood, Gene Hackman, Morgan Freeman",English,8.2,tt0105695
Unicorn Store,2019-04-20,2017,TV-PG,"Comedy, Drama, Fantasy",Brie Larson,Samantha McIntyre,"Brie Larson, Samuel L. Jackson, Joan Cusack",English,5.5,tt2338454
Unlikely Animal Friends,2016-02-22,2012–,N/A,Documentary,N/A,N/A,Mark Keller,English,7.6,tt2181679
Unlocking Sherlock,2014-06-11,2014,N/A,Documentary,Susannah Ward,N/A,"Zeb Soanes, Benedict Cumberbatch, Steven Moffat, Mark Gatiss",English,7.3,tt3711030
