Title,ViewDate,Year,Rated,Genre,Director,Writer,Actors,Language,imdbRating,imdbID
Casino,2018-08-13,1995,R,"Crime, Drama",Martin Scorsese,"Nicholas Pileggi, Martin Scorsese","Robert De Niro, Sharon Stone, Joe Pesci",English,8.2,tt0112641
Casino Royale,2020-09-20,2006,PG-13,"Action, Adventure, Thriller",Martin Campbell,"Neal Purvis, Robert Wade, Paul Haggis","Daniel Craig, Eva Green, Judi Dench","English, Serbian, German, Italian, French",8.0,tt0381061
Catch and Release,2014-04-29,2006,PG-13,"Comedy, Drama, Romance",Susannah Grant,Susannah Grant,"Jennifer Garner, Timothy Olyphant, Kevin Smith","English, Sanskrit",6.0,tt0395495
Catfight,2017-06-23,2016,Not Rated,"Action, Comedy, Drama",Onur Tukel,Onur Tukel,"Sandra Oh, Anne Heche, Alicia Silverstone",English,5.9,tt5294198
Catwoman,2016-01-30,2004,PG-13,"Action, Crime, Fantasy",Pitof,"Bob Kane, Theresa Rebeck, John Brancato","Halle Berry, Sharon Stone, Benjamin Bratt","English, Spanish",3.4,tt0327554
Cedar Rapids,2014-04-24,2011,R,Comedy,Miguel Arteta,Phil Johnston,"Ed Helms, John C. Reilly, Anne Heche",English,6.3,tt1477837
Chalet Girl,2018-09-10,2011,R,"Comedy, Romance, Sport",Phil Traill,Tom Williams,"Felicity Jones, Ed Westwick, Bill Nighy","English, German",6.3,tt1487118
Chaos on the Bridge,2015-12-11,2014,TV-14,"Documentary, Biography, History, Sci-Fi",William Shatner,William Shatner,"William Shatner, D.C. Fontana, David Gerrold, Maurice Hurley",English,7.0,tt2880448
Chappelle's Show,2021-03-12,2003–2006,TV-MA,"Comedy, Music",N/A,"Neal Brennan, Dave Chappelle","Dave Chappelle, Donnell Rawlings, Rudy Rush",English,8.7,tt0353049
Chappie,2017-12-09,2015,R,"Action, Crime, Drama",Neill Blomkamp,"Neill Blomkamp, Terri Tatchell","Sharlto Copley, Dev Patel, Hugh Jackman",English,6.8,tt1823672
Charmed,2016-01-31,1998–2006,TV-14,"Drama, Fantasy, Mystery",N/A,Constance M. Burge,"Holly Marie Combs, Alyssa Milano, Brian Krause",English,7.1,tt0158552
Chasing Mavericks,2013-11-06,2012,PG,"Biography, Drama, Sport","Michael Apted, Curtis Hanson","Kario Salem, Jim Meenaghan, Brandon Hooper","Jonny Weston, Gerard Butler, Elisabeth Shue",English,7.1,tt1629757
Cheer,2020-02-22,2020,TV-MA,"Documentary, Reality-TV",N/A,N/A,"Monica Aldama, Lexi Brumback, Gabi Butler",English,8.1,tt11426660
Chef,2020-12-11,2014,R,"Adventure, Comedy, Drama",Jon Favreau,Jon Favreau,"Jon Favreau, Robert Downey Jr., Scarlett Johansson","English, Spanish",7.3,tt2883512
Chef's Table,2020-09-04,2015–2019,TV-MA,Documentary,N/A,N/A,"Dan Barber, Massimo Bottura, Bill Buford",English,8.5,tt4295140
Chelsea Peretti: One of the Greats,2015-05-01,2014,N/A,Comedy,Lance Bangs,Chelsea Peretti,"Chelsea Peretti, Brendon Walsh, John Howard Swain",English,7.0,tt3804556
Children of Men,2017-02-01,2006,R,"Adventure, Drama, Sci-Fi",Alfonso Cuarón,"Alfonso Cuarón, Timothy J. Sexton, David Arata","Julianne Moore, Clive Owen, Chiwetel Ejiofor","English, German, Italian, Romanian, Spanish, Arabic, Georgian, Russian, Serbian",7.9,tt0206634
Chilling Adventures of Sabrina,2018-10-28,2018–2020,TV-14,"Drama, Fantasy, Horror",N/A,Roberto Aguirre-Sacasa,"Kiernan Shipka, Ross Lynch, Lucy Davis",English,7.5,tt7569592
Chocolat,2018-07-19,2000,PG-13,"Drama, Romance",Lasse Hallström,"Joanne Harris, Robert Nelson Jacobs","Juliette Binoche, Judi Dench, Alfred Molina","English, French",7.2,tt0241303
Christopher Robin,2019-03-20,2018,PG,"Animation, Adventure, Comedy",Marc Forster,"A.A. Milne, Ernest Shepard, Alex Ross Perry","Ewan McGregor, Hayley Atwell, Bronte Carmichael",English,7.3,tt4575576
City of God,2015-12-07,2011,N/A,Drama,Lijo Jose Pellissery,Babu Janardanan,"Indrajith Sukumaran, Parvathy Thiruvothu, Prithviraj Sukumaran","Malayalam, Tamil",7.1,tt1854518
Class Rank,2018-10-04,2017,Not Rated,"Comedy, Drama, Family",Eric Stoltz,Benjamin August,"Olivia Holt, Eric Stoltz, Kristin Chenoweth",English,6.5,tt5219972
Cloudy with a Chance of Meatballs,2016-12-20,2009,PG,"Animation, Adventure, Comedy","Phil Lord, Christopher Miller","Phil Lord, Christopher Miller, Judi Barrett","Anna Faris, Bill Hader, Bruce Campbell","English, French, Spanish",6.9,tt0844471
Clueless,2020-06-13,1995,PG-13,"Comedy, Romance",Amy Heckerling,Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy","English, Spanish",6.8,tt0112697
Coach Carter,2016-11-27,2005,PG-13,"Biography, Drama, Sport",Thomas Carter,"Mark Schwahn, John Gatins","Samuel L. Jackson, Rick Gonzalez, Robert Ri'chard",English,7.3,tt0393162
Collateral,2018-03-28,2004,R,"Crime, Drama, Thriller",Michael Mann,Stuart Beattie,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith","English, Spanish, French, Korean",7.5,tt0369339
Colony,2020-12-14,2016–2018,TV-14,"Action, Adventure, Drama",N/A,"Ryan J. Condal, Carlton Cuse","Josh Holloway, Sarah Wayne Callies, Peter Jacobson",English,7.4,tt4209256
Comedians in Cars Getting Coffee,2019-07-27,2012–,TV-14,"Animation, Comedy, Family",N/A,Jerry Seinfeld,"Jerry Seinfeld, Michael Richards, Mario Joyner",English,8.1,tt2314952
Comedy Bang! Bang!,2015-09-19,2012–2016,TV-14,"Comedy, Talk-Show",N/A,Scott Aukerman,"Scott Aukerman, Reggie Watts, 'Weird Al' Yankovic",English,7.6,tt2176287
Community,2020-04-22,2009–2015,TV-14,Comedy,N/A,Dan Harmon,"Joel McHale, Danny Pudi, Donald Glover",English,8.5,tt1439629
Constantine,2016-01-23,2005,R,"Action, Fantasy, Horror",Francis Lawrence,"Jamie Delano, Garth Ennis, Kevin Brodbin","Keanu Reeves, Rachel Weisz, Djimon Hounsou","English, Filipino, Tagalog",7.0,tt0360486
Contact,2016-03-07,1997,PG,"Drama, Mystery, Sci-Fi",Robert Zemeckis,"James V. Hart, Michael Goldenberg, Carl Sagan","Jodie Foster, Matthew McConaughey, Tom Skerritt","English, Spanish, German, Russian",7.5,tt0118884
Cool Runnings,2017-12-29,1993,PG,"Adventure, Comedy, Family",Jon Turteltaub,"Lynn Siefert, Michael Ritchie, Tommy Swerdlow","John Candy, Leon, Doug E. Doug","English, German, Russian",7.0,tt0106611
Copenhagen,2018-08-12,2014,Not Rated,"Adventure, Drama, Romance",Mark Raso,Mark Raso,"Gethin Anthony, Frederikke Dahl Hansen, Sebastian Armesto","English, Danish",7.1,tt2459156
Cosmos,2015-08-26,1980,TV-PG,Documentary,N/A,"Ann Druyan, Carl Sagan, Steven Soter","Carl Sagan, Jaromír Hanzlík, Jonathan Fahn",English,9.3,tt0081846
Count Me In,2021-08-31,2021,N/A,Documentary,Mark Lo,"Claire Ferguson, Sarah Jobling, Mark Lo","Cindy Blackman, Clem Burke, Stewart Copeland",English,7.2,tt6889042
CounterPunch,2017-06-21,2017,N/A,Documentary,Jay Bulger,Jay Bulger,"Oscar De La Hoya, David Diamante, Bernard Hopkins",English,6.7,tt7022034
Crashing,2019-11-11,2016,TV-MA,Comedy,N/A,Phoebe Waller-Bridge,"Phoebe Waller-Bridge, Jonathan Bailey, Julie Dray",English,7.7,tt5295524
Crazy Ex-Girlfriend,2018-06-20,2015–2019,TV-14,"Comedy, Musical",N/A,"Rachel Bloom, Aline Brosh McKenna","Rachel Bloom, Donna Lynne Champlin, Vincent Rodriguez III",English,7.8,tt4094300
"Crazy, Stupid, Love.",2016-09-15,2011,PG-13,"Comedy, Drama, Romance","Glenn Ficarra, John Requa",Dan Fogelman,"Steve Carell, Ryan Gosling, Julianne Moore",English,7.4,tt1570728
Creating the Queen's Gambit,2021-06-15,2021,N/A,"Documentary, Short",N/A,N/A,"Gabriele Binder, Thomas Brodie-Sangster, Bill Camp",English,6.9,tt13818410
Crystal Fairy y el cactus mágico,2014-05-09,2013,Not Rated,"Adventure, Comedy, Drama",Sebastián Silva,Sebastián Silva,"Michael Cera, Gaby Hoffmann, Juan Andrés Silva","English, Spanish",5.8,tt2332579
Cuties,2020-10-16,2020,N/A,Horror,Joshua Gratton,Joshua Gratton,"Olivia Begg, Davey Calderon, Jake Cameron",English,1.5,tt5896778
Cutthroat Kitchen,2016-06-07,2013–,N/A,"Game-Show, Reality-TV",N/A,N/A,"Alton Brown, Jet Tila, Simon Majumdar",English,7.3,tt2930446
Cyrus,2013-12-14,2010,R,"Comedy, Drama, Romance","Jay Duplass, Mark Duplass","Mark Duplass, Jay Duplass","John C. Reilly, Marisa Tomei, Jonah Hill",English,6.3,tt1336617
Dallas Buyers Club,2018-01-28,2013,R,"Biography, Drama",Jean-Marc Vallée,"Craig Borten, Melisa Wallack","Matthew McConaughey, Jennifer Garner, Jared Leto","English, Japanese",8.0,tt0790636
Dances with Wolves,2019-04-27,1990,PG-13,"Adventure, Drama, Western",Kevin Costner,Michael Blake,"Kevin Costner, Mary McDonnell, Graham Greene","English, Sioux, Pawnee",8.0,tt0099348
Dare Me,2021-01-02,2019–2020,TV-MA,"Crime, Mystery, Thriller",N/A,"Megan Abbott, Gina Fattore","Willa Fitzgerald, Herizen F. Guardiola, Marlo Kelly",English,6.7,tt2983222
Dark,2017-12-03,2017–2020,TV-MA,"Crime, Drama, Mystery",N/A,"Baran bo Odar, Jantje Friese","Louis Hofmann, Karoline Eichhorn, Lisa Vicari",German,8.8,tt5753856
Dark Matter,2017-08-27,2015–2017,TV-14,"Adventure, Drama, Mystery",N/A,"Joseph Mallozzi, Paul Mullie","Melissa O'Neil, Anthony Lemke, Alex Mallari Jr.",English,7.5,tt4159076
Dating Around,2019-02-22,2019–,N/A,"Reality-TV, Romance",N/A,Chris Culvenor,"Gurki Basra, Kate Burr, Graig Couton",N/A,6.3,tt9654080
Dave Chappelle,2019-09-25,2017,N/A,"Documentary, Comedy",N/A,N/A,Dave Chappelle,English,8.7,tt6963504
David Brent: Life on the Road,2017-02-19,2016,N/A,"Comedy, Music",Ricky Gervais,Ricky Gervais,"Ricky Gervais, Rob Jarvis, Abbie Murphy",English,6.3,tt3137630
Dead to Me,2020-05-10,2019–,TV-MA,"Comedy, Crime, Drama",N/A,Liz Feldman,"Christina Applegate, Linda Cardellini, Sam McCarthy",English,8.0,tt8064302
Dear White People,2018-06-08,2014,R,"Comedy, Drama, Romance",Justin Simien,Justin Simien,"Tyler James Williams, Tessa Thompson, Kyle Gallner",English,6.1,tt2235108
Death Note,2017-08-26,2017,TV-MA,"Action, Crime, Drama",Adam Wingard,"Charley Parlapanides, Vlas Parlapanides, Jeremy Slater","Nat Wolff, LaKeith Stanfield, Margaret Qualley","English, Japanese, Spanish",4.4,tt1241317
Death to 2020,2020-12-29,2020,TV-MA,Comedy,"Al Campbell, Alice Mathias","Charlie Brooker (created by), Annabel Jones (created by), Charlie Brooker, Tom Baker, Kemah Bob, Ken Bordell, Munya Chawawa, Constance Cheng, Alan Connor, Erika Ehler, Charlie George, Eli Goldstone, Mollie Goodfellow, Jason Hazeley, Angelo Irving, Kae Kurd, Alison Marlow, Thanyia Moore, Joel Morris, Michael Odewale","Samuel L. Jackson, Hugh Grant, Lisa Kudrow, Kumail Nanjiani",English,6.8,tt13567480
Deep Impact,2016-05-26,1998,PG-13,"Action, Drama, Sci-Fi",Mimi Leder,"Bruce Joel Rubin, Michael Tolkin","Robert Duvall, Téa Leoni, Elijah Wood","English, Russian",6.2,tt0120647
Defiance,2014-11-07,2008,R,"Action, Drama, History",Edward Zwick,"Clayton Frohman, Edward Zwick, Nechama Tec","Daniel Craig, Liev Schreiber, Jamie Bell","English, German, Russian",7.2,tt1034303
Deliverance,2019-04-26,1972,R,"Adventure, Drama, Thriller",John Boorman,"James Dickey, John Boorman","Jon Voight, Burt Reynolds, Ned Beatty",English,7.7,tt0068473
Important Things with Demetri Martin,2016-03-03,2009–2010,N/A,Comedy,N/A,Demetri Martin,"Demetri Martin, H. Jon Benjamin, Barry Carl",English,7.7,tt1118038
Derek,2017-07-28,2012–2014,TV-MA,"Comedy, Drama",N/A,Ricky Gervais,"Ricky Gervais, Kerry Godliman, David Earl",English,8.0,tt2616280
Derry Girls,2020-12-14,2018–,TV-MA,Comedy,N/A,Lisa McGee,"Saoirse-Monica Jackson, Louisa Harland, Nicola Coughlan",English,8.4,tt7120662
Despicable Me,2014-01-07,2010,PG,"Animation, Adventure, Comedy","Pierre Coffin, Chris Renaud","Cinco Paul, Ken Daurio, Sergio Pablos","Steve Carell, Jason Segel, Russell Brand",English,7.6,tt1323594
Detectorists,2015-12-08,2014–2017,Not Rated,Comedy,N/A,Mackenzie Crook,"Mackenzie Crook, Toby Jones, Rachael Stirling",English,8.6,tt4082744
Dirty Money,2019-07-16,2018–,TV-14,"Documentary, Crime",N/A,N/A,"Matt Taibbi, Alex Gibney, Anabel Hernández",English,8.1,tt7889220
Disenchantment,2018-08-20,2018–,TV-14,"Animation, Action, Adventure",N/A,"Matt Groening, Josh Weinstein","Abbi Jacobson, Eric André, Nat Faxon",English,7.2,tt5363918
District 9,2014-05-08,2009,R,"Action, Sci-Fi, Thriller",Neill Blomkamp,"Neill Blomkamp, Terri Tatchell","Sharlto Copley, David James, Jason Cope","English, Nyanja, Afrikaans, Zulu, Xhosa, Sotho",7.9,tt1136608
Doctor Strange,2018-01-10,2016,PG-13,"Action, Adventure, Fantasy",Scott Derrickson,"Jon Spaihts, Scott Derrickson, C. Robert Cargill","Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams",English,7.5,tt1211837
Documentary Now!,2019-03-13,2015–,TV-14,Comedy,N/A,"Fred Armisen, Bill Hader, Seth Meyers","Helen Mirren, Fred Armisen, Bill Hader",English,8.1,tt4677934
Dodgeball,2017-04-06,2001,Not Rated,Short,Donald Bull,Donald Bull,"Senta Moses Mikan, David Allen Brooks, Matt Price, Cece Tsou",English,5.6,tt0305482
Dollhouse,2016-08-29,2009–2010,TV-14,"Drama, Mystery, Sci-Fi",N/A,Joss Whedon,"Eliza Dushku, Harry Lennix, Fran Kranz",English,7.7,tt1135300
Don't F**k with Cats: Hunting an Internet Killer,2020-02-09,2019,TV-MA,"Documentary, Crime",N/A,N/A,"Deanna Thompson, John Green, Claudette Hamlin",English,8.0,tt11318602
Done the Impossible: The Fans' Tale of 'Firefly' and 'Serenity',2014-01-17,2006,Not Rated,Documentary,"Tony Hadlock, Jason Heppler, Jeremy Neish, Jared Nelson, Brian Wiser",N/A,"Morena Baccarin, Kevin Bachelder, Adam Baldwin, Michael Boretz",English,6.9,tt0838164
Dope,2016-03-03,2015,R,"Adventure, Comedy, Crime",Rick Famuyiwa,Rick Famuyiwa,"Shameik Moore, Tony Revolori, Kiersey Clemons","English, Spanish",7.2,tt3850214
Doubt,2019-03-23,2008,PG-13,"Drama, Mystery",John Patrick Shanley,John Patrick Shanley,"Meryl Streep, Philip Seymour Hoffman, Amy Adams",English,7.5,tt0918927
Down to Earth with Zac Efron,2020-07-18,2020–,TV-PG,"Documentary, Short, History",N/A,N/A,"Zac Efron, Darin Olien, Carmen Yulín Cruz",English,8.1,tt12585152
Downton Abbey,2021-07-03,2010–2015,TV-PG,"Drama, Romance",N/A,Julian Fellowes,"Hugh Bonneville, Phyllis Logan, Elizabeth McGovern",English,8.7,tt1606375
Dream Home Makeover,2021-01-01,2020–,TV-G,Reality-TV,N/A,N/A,"Shea McGee, Syd McGee",English,5.6,tt13161310
Dreamcatcher,2017-07-02,2003,R,"Drama, Horror, Sci-Fi",Lawrence Kasdan,"Stephen King, William Goldman, Lawrence Kasdan","Morgan Freeman, Thomas Jane, Jason Lee",English,5.5,tt0285531
Drive,2016-10-31,2011,R,"Crime, Drama",Nicolas Winding Refn,"Hossein Amini, James Sallis","Ryan Gosling, Carey Mulligan, Bryan Cranston","English, Spanish",7.8,tt0780504
Dumplin',2018-12-30,2018,PG-13,"Comedy, Drama",Anne Fletcher,"Kristin Hahn, Julie Murphy","Danielle Macdonald, Jennifer Aniston, Odeya Rush",English,6.6,tt4878482
Earth 2,2015-10-12,1994–1995,TV-PG,"Adventure, Sci-Fi",N/A,"Michael Duggan, Carol Flint, Mark Levin","Debrah Farentino, Clancy Brown, Sullivan Walker",English,6.9,tt0108758
Easy,2016-09-28,2016–,TV-MA,Comedy,N/A,Joe Swanberg,"Michael Chernus, Jane Adams, Elizabeth Reaser",English,6.9,tt5562056
Easy A,2020-11-15,2010,PG-13,"Comedy, Drama, Romance",Will Gluck,Bert V. Royal,"Emma Stone, Amanda Bynes, Penn Badgley",English,7.0,tt1282140
Eddie Murphy: Raw,2014-10-21,1987,R,"Documentary, Comedy",Robert Townsend,"Eddie Murphy, Keenen Ivory Wayans","Eddie Murphy, Tatyana Ali, Billie Allen",English,7.7,tt0092948
Effie Gray,2020-12-18,2014,PG-13,"Biography, Drama, Romance",Richard Laxton,Emma Thompson,"Dakota Fanning, Greg Wise, Tom Sturridge",English,6.0,tt1605798
Elizabeth,2016-05-15,1998,R,"Biography, Drama, History",Shekhar Kapur,Michael Hirst,"Cate Blanchett, Liz Giles, Rod Culbertson","English, French",7.4,tt0127536
Elizabethtown,2018-07-25,2005,PG-13,"Comedy, Drama, Romance",Cameron Crowe,Cameron Crowe,"Orlando Bloom, Kirsten Dunst, Susan Sarandon",English,6.4,tt0368709
Ellis,2016-02-28,2015,N/A,"Short, Drama",JR,Eric Roth,Robert De Niro,English,6.8,tt5227516
Elon Musk: The Real Life Iron Man,2014-04-14,2018,TV-PG,"Documentary, Biography",Sonia Anderson,Sonia Anderson,"Daniela Albers, Julie Anderson Ankenbrandt, Richard Branson",English,6.5,tt9219848
Emily in Paris,2020-10-16,2020–,TV-MA,"Comedy, Drama, Romance",N/A,Darren Star,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park","French, English",7.0,tt8962124
Emma,2019-04-20,1996,PG,"Comedy, Drama, Romance",Douglas McGrath,"Jane Austen, Douglas McGrath","Gwyneth Paltrow, James Cosmo, Greta Scacchi",English,6.7,tt0116191
Emperor,2014-01-05,2012,PG-13,"Drama, History, War",Peter Webber,"Vera Blasi, David Klass, Shiro Okamoto","Matthew Fox, Colin Moy, Tommy Lee Jones","English, Japanese",6.5,tt2103264
End of Watch,2015-03-18,2012,R,"Action, Crime, Drama",David Ayer,David Ayer,"Jake Gyllenhaal, Michael Peña, Anna Kendrick","English, Spanish",7.6,tt1855199
Enemy,2018-08-06,2013,R,"Drama, Mystery, Thriller",Denis Villeneuve,"José Saramago, Javier Gullón","Jake Gyllenhaal, Mélanie Laurent, Sarah Gadon",English,6.9,tt2316411
Enemy at the Gates,2015-01-25,2001,R,"Drama, History, War",Jean-Jacques Annaud,"Jean-Jacques Annaud, Alain Godard","Jude Law, Ed Harris, Joseph Fiennes","English, German, Russian",7.6,tt0215750
Enough Said,2014-07-05,2013,PG-13,"Comedy, Drama, Romance",Nicole Holofcener,Nicole Holofcener,"Julia Louis-Dreyfus, James Gandolfini, Catherine Keener",English,7.0,tt2390361
Enter the Battlefield: Life on the Magic - The Gathering Pro Tour,2016-05-11,2016,Not Rated,Documentary,"Nathan Holt, Shawn Kornhauser","Greg Collins, Nathan Holt, Shawn Kornhauser","Wil Wheaton, Reid Duke, Owen Turtenwald",English,6.0,tt5628044
Equilibrium,2016-01-23,2002,R,"Action, Drama, Sci-Fi",Kurt Wimmer,Kurt Wimmer,"Christian Bale, Sean Bean, Emily Watson",English,7.4,tt0238380
Eternal Sunshine of the Spotless Mind,2019-02-09,2004,R,"Drama, Romance, Sci-Fi",Michel Gondry,"Charlie Kaufman, Michel Gondry, Pierre Bismuth","Jim Carrey, Kate Winslet, Tom Wilkinson",English,8.3,tt0338013
Eurovision Song Contest: The Story of Fire Saga,2020-07-08,2020,PG-13,"Comedy, Music",David Dobkin,"Will Ferrell, Andrew Steele","Will Ferrell, Rachel McAdams, Dan Stevens","English, Icelandic, Portuguese",6.5,tt8580274
Everything Sucks!,2018-10-17,2018,TV-14,"Comedy, Drama",N/A,"Ben York Jones, Michael Mohan","Jahi Di'Allo Winston, Peyton Kennedy, Patch Darragh",English,7.5,tt7078710
Ex Machina,2019-12-04,2014,R,"Drama, Sci-Fi, Thriller",Alex Garland,Alex Garland,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac",English,7.7,tt0470752
Experimenter,2016-02-22,2015,PG-13,"Biography, Drama, History",Michael Almereyda,Michael Almereyda,"John Palladino, Anthony Edwards, Jim Gaffigan",English,6.6,tt3726704
Explained,2019-07-19,2018–,TV-MA,Documentary,N/A,"Joe Posner, Ezra Klein","Estelle Caswell, Samira Wiley, Maria Bello",English,8.0,tt8005374
Extinction,2018-07-30,2018,TV-MA,"Action, Drama, Sci-Fi",Ben Young,"Spenser Cohen, Brad Kane, Eric Heisserer","Michael Peña, Lizzy Caplan, Amelia Crouch",English,5.8,tt3201640
Extract,2018-06-07,2009,R,"Comedy, Crime, Romance",Mike Judge,Mike Judge,"Jason Bateman, Kristen Wiig, Ben Affleck",English,6.1,tt1225822
Extras,2019-09-11,2005–2007,TV-MA,"Comedy, Drama",N/A,"Ricky Gervais, Stephen Merchant","Ricky Gervais, Ashley Jensen, Stephen Merchant","English, German",8.3,tt0445114
Failure to Launch,2020-03-13,2006,PG-13,"Comedy, Romance",Tom Dey,"Tom J. Astle, Matt Ember","Matthew McConaughey, Sarah Jessica Parker, Kathy Bates",English,5.6,tt0427229
Family Guy,2016-12-01,1999–,TV-14,"Animation, Comedy",N/A,"Seth MacFarlane, David Zuckerman","Seth MacFarlane, Alex Borstein, Seth Green","English, Portuguese",8.1,tt0182576
Fanboys,2014-03-29,2009,PG-13,"Adventure, Comedy, Crime",Kyle Newman,"Ernest Cline, Adam F. Goldberg, Dan Pulick","Dan Fogler, Jay Baruchel, Kristen Bell",English,6.6,tt0489049
Farscape,2016-05-30,1999–2003,TV-14,"Action, Adventure, Drama",N/A,Rockne S. O'Bannon,"Ben Browder, Claudia Black, Anthony Simcoe",English,8.3,tt0187636
Faults,2015-10-26,2014,Not Rated,"Comedy, Crime, Drama",Riley Stearns,Riley Stearns,"Leland Orser, Mary Elizabeth Winstead, Chris Ellis",English,6.7,tt3021360
Fear City,2020-08-09,1984,R,"Crime, Drama, Mystery",Abel Ferrara,Nicholas St. John,"Tom Berenger, Billy Dee Williams, Jack Scalia",English,5.7,tt0087247
Fighting,2017-12-12,2009,PG-13,"Action, Crime, Drama",Dito Montiel,"Robert Munic, Dito Montiel","Channing Tatum, Terrence Howard, Luis Guzmán","English, Russian, Spanish, Italian",5.6,tt1082601
Firefly,2016-07-24,2002–2003,TV-14,"Adventure, Drama, Sci-Fi",N/A,Joss Whedon,"Nathan Fillion, Gina Torres, Alan Tudyk","English, Mandarin",9.0,tt0303461
Fireplace for your Home,2013-12-14,2008,N/A,Short,George Ford,N/A,N/A,N/A,7.4,tt2571490
Five Feet Apart,2021-08-26,2019,PG-13,"Drama, Romance",Justin Baldoni,"Mikki Daughtry, Tobias Iaconis","Haley Lu Richardson, Cole Sprouse, Moises Arias","English, French",7.2,tt6472976
Flash of Genius,2018-07-08,2008,PG-13,"Biography, Drama",Marc Abraham,"Philip Railsback, John Seabrook","Greg Kinnear, Lauren Graham, Alan Alda","English, Spanish",7.0,tt1054588
Flatliners,2019-04-19,1990,R,"Drama, Horror, Sci-Fi",Joel Schumacher,Peter Filardi,"Kiefer Sutherland, Kevin Bacon, Julia Roberts",English,6.6,tt0099582
Flight,2013-10-17,2012,R,"Drama, Thriller",Robert Zemeckis,John Gatins,"Denzel Washington, Nadine Velazquez, Don Cheadle",English,7.3,tt1907668
Flint Town,2018-03-21,2018,TV-MA,"Documentary, Crime",N/A,N/A,"Tim Johnson, Bridgette Balasko, Robert Frost",English,7.9,tt8004578
Floor Is Lava,2020-06-25,2020–,TV-Y7,"Game-Show, Reality-TV",N/A,N/A,"Rutledge Wood, Janine Hogan, Todd Leykamp",English,5.3,tt12370124
Flowers,2019-02-02,2016–2018,TV-14,"Comedy, Drama",N/A,Will Sharpe,"Sophia Di Martino, Olivia Colman, Julian Barratt",English,8.2,tt5619658
Forgetting Sarah Marshall,2018-03-07,2008,R,"Comedy, Drama, Romance",Nicholas Stoller,Jason Segel,"Kristen Bell, Jason Segel, Paul Rudd","English, Hawaiian, German, Japanese",7.1,tt0800039
Forgotten Planet,2014-07-01,2011–,N/A,Documentary,N/A,N/A,James Lurie,N/A,7.0,tt1842053
Forrest Gump,2016-05-26,1994,PG-13,"Drama, Romance",Robert Zemeckis,"Winston Groom, Eric Roth","Tom Hanks, Robin Wright, Gary Sinise",English,8.8,tt0109830
Frances Ha,2019-12-11,2012,R,"Comedy, Drama, Romance",Noah Baumbach,"Noah Baumbach, Greta Gerwig","Greta Gerwig, Mickey Sumner, Adam Driver","English, French",7.5,tt2347569
"Frankenstein's Monster's Monster, Frankenstein",2019-07-20,2019,TV-14,Comedy,Daniel Gray Longino,John Levenstein,"David Harbour, Kate Berlant, Alex Ozerov, Mary Woronov",English,5.9,tt10516390
Freaks and Geeks,2016-10-11,1999–2000,TV-14,"Comedy, Drama",N/A,Paul Feig,"Linda Cardellini, John Francis Daley, James Franco",English,8.7,tt0193676
Free State of Jones,2019-02-23,2016,R,"Action, Biography, Drama",Gary Ross,"Gary Ross, Leonard Hartman","Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali",English,6.9,tt1124037
Freedom Writers,2020-05-22,2007,PG-13,"Biography, Crime, Drama",Richard LaGravenese,"Richard LaGravenese, Freedom Writers, Erin Gruwell","Hilary Swank, Imelda Staunton, Patrick Dempsey","English, Spanish",7.6,tt0463998
Frequencies,2015-03-04,2015,N/A,Documentary,Caleb Slain,N/A,N/A,English,6.9,tt5792724
Friday Night Lights,2018-11-09,2004,PG-13,"Action, Drama, Sport",Peter Berg,"Buzz Bissinger, David Aaron Cohen, Peter Berg","Billy Bob Thornton, Jay Hernandez, Derek Luke",English,7.2,tt0390022
Friday Night Tykes,2017-12-01,2014–,N/A,Reality-TV,N/A,N/A,Morgan Spector,English,6.9,tt3467018
Friends from College,2017-07-15,2017–2019,TV-MA,"Comedy, Drama",N/A,"Francesca Delbanco, Nicholas Stoller","Keegan-Michael Key, Cobie Smulders, Annie Parisse",English,6.9,tt5565334
Fringe,2016-07-28,2008–2013,TV-14,"Drama, Mystery, Sci-Fi",N/A,"J.J. Abrams, Alex Kurtzman, Roberto Orci","Anna Torv, Joshua Jackson, John Noble",English,8.4,tt1119644
Frontier,2018-12-15,2016–2018,TV-MA,"Adventure, Drama, History",N/A,"Rob Blackie, Peter Blackie","Jason Momoa, Landon Liboiron, Zoe Boyle","English, Cree, Portuguese",7.2,tt4686698
Frontline,2015-12-08,1983–,TV-MA,"Documentary, News",N/A,N/A,"Will Lyman, Sarah Childress, Priyanka Boghani",English,8.6,tt0133302
Frozen Planet,2015-05-13,2011–2012,TV-PG,Documentary,N/A,N/A,"David Attenborough, Alec Baldwin, Chadden Hunter","English, Russian",9.0,tt2092588
Fruitvale Station,2018-03-28,2013,R,"Biography, Crime, Drama",Ryan Coogler,Ryan Coogler,"Michael B. Jordan, Melonie Diaz, Octavia Spencer","English, Spanish",7.5,tt2334649
Full Metal Jacket,2016-03-03,1987,R,"Drama, War",Stanley Kubrick,"Stanley Kubrick, Michael Herr, Gustav Hasford","Matthew Modine, R. Lee Ermey, Vincent D'Onofrio","English, Vietnamese",8.3,tt0093058
