source,target,Weight
Zalmen Hirshfeld,Nadia Kameni,1
Zalmen Hirshfeld,Yosef Kamen,1
Zalmen Hirshfeld,Shmuel Iris,1
Zalmen Hirshfeld,Zina Rapel,1
Zalmen Hirshfeld,Joseph Buloff,1
Zalmen Hirshfeld,Maurice Schwartz,1
Zalmen Hirshfeld,Jacob Ben-Ami,1
Zalmen Hirshfeld,Nadia Kareni,1
Zalmen Hirshfeld,Devorah Rosenblum,1
Rokhl Holtzer,Ida Kaminska,1
Rokhl Holtzer,Jacob Waislitz,1
Rokhl Holtzer,Shimon Dzigan,1
Rokhl Holtzer,Yisroel Shumacher,1
Rokhl Holtzer,Avrom Morevsky,1
Rokhl Holtzer,Dina Halpern,1
Rokhl Holtzer,Khavel Buzgan,1
Rokhl Holtzer,Ruth Turkow,1
Rokhl Holtzer,Klara Segalovitch,1
Rokhl Holtzer,Isaac Samberg,1
Rokhl Holtzer,Henekh Kon,1
Rokhl Holtzer,Gershon Lemberger,1
Rokhl Holtzer,Yankev Reynglas,1
Rokhl Holtzer,Yonas Turkow,1
Rokhl Holtzer,Mikhl Vaykhert,1
Rokhl Holtzer,Daniel Shapiro,1
Rokhl Holtzer,Rose Shoshana,1
Rokhl Holtzer,Pola Valter,1
Rokhl Holtzer,Yosef Shayn,1
Rokhl Holtzer,Mila Waislitz,1
Rokhl Holtzer,Yocheved Waislitz,1
Rokhl Holtzer,Shimon Dzigan,1
Shmuel Iris,Peppi Littman,1
Shmuel Iris,Misha Fishzon,1
Shmuel Iris,Aaron Lebedeff,1
Shmuel Iris,Celia Adler,1
Shmuel Iris,Jacob P. Adler,1
Shmuel Iris,Isaac Deutsch,1
Shmuel Iris,Zalmen Hirshfeld,1
Shmuel Iris,Ester Rapel,1
Itzik Kadison,Hersh Poznanski,1
Leyb Kadison,Joseph Buloff,1
Leyb Kadison,Yankev Mestel,1
Leyb Kadison,Maurice Schwartz,1
Leyb Kadison,Luba Kadison,1
Leyb Kadison,Bertha Gersten,1
Leyb Kadison,Misha Fishzon,1
Leyb Kadison,Sam Leve,1
Leyb Kadison,Avrom Taytlboym,1
Leyb Kadison,Lucy German,1
Leyb Kadison,Misha German,1
Leyb Kadison,Dovid Likht,1
Leyb Kadison,Charlotte Goldstein Chafran,1
Leyb Kadison,Shloyme Krause,1
Luba Kadison,Maurice Schwartz,1
Luba Kadison,Celia Adler,1
Luba Kadison,Zvi Scooler,1
Luba Kadison,Helen Beverly,1
Luba Kadison,Stella Adler,1
Luba Kadison,Yankev Mestel,1
Luba Kadison,Baruch Lumet,1
Luba Kadison,Jacob Ben-Ami,1
Luba Kadison,Bertha Gersten,1
Luba Kadison,Boris Aronson,1
Luba Kadison,Avrom Taytlboym,1
Luba Kadison,Julius Adler,1
Luba Kadison,Reuven Vendorf,1
Luba Kadison,Leib Kadison,1
Luba Kadison,Misha Fishzon,1
Luba Kadison,Noah Nachbush,1
Luba Kadison,Zvi Scooler,1
Luba Kadison,Paul Baratoff,1
Luba Kadison,Sam Leve,1
Luba Kadison,Avrom Taytlboym,1
Luba Kadison,Lucy German,1
Luba Kadison,Misha German,1
